Source,Target,Weight,Type
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_2,6,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_3,3,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_4,4,undirected
2010s_drama_lady_bird_part_1,2010s_drama_lady_bird_part_5,2,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_1,6,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_3,5,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_4,4,undirected
2010s_drama_lady_bird_part_2,2010s_drama_lady_bird_part_5,3,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_1,3,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_2,5,undirected
2010s_drama_lady_bird_part_3,2010s_drama_lady_bird_part_4,2,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_1,4,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_2,4,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_3,2,undirected
2010s_drama_lady_bird_part_4,2010s_drama_lady_bird_part_5,1,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_1,2,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_2,3,undirected
2010s_drama_lady_bird_part_5,2010s_drama_lady_bird_part_4,1,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_2,5,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_3,5,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_4,1,undirected
2010s_drama_manchester_by_the_sea_part_1,2010s_drama_manchester_by_the_sea_part_5,3,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_1,5,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_3,2,undirected
2010s_drama_manchester_by_the_sea_part_2,2010s_drama_manchester_by_the_sea_part_5,1,undirected
2010s_drama_manchester_by_the_sea_part_3,2010s_drama_manchester_by_the_sea_part_1,5,undirected
2010s_drama_manchester_by_the_sea_part_3,2010s_drama_manchester_by_the_sea_part_2,2,undirected
2010s_drama_manchester_by_the_sea_part_3,2010s_drama_manchester_by_the_sea_part_4,4,undirected
2010s_drama_manchester_by_the_sea_part_3,2010s_drama_manchester_by_the_sea_part_5,6,undirected
2010s_drama_manchester_by_the_sea_part_4,2010s_drama_manchester_by_the_sea_part_1,1,undirected
2010s_drama_manchester_by_the_sea_part_4,2010s_drama_manchester_by_the_sea_part_3,4,undirected
2010s_drama_manchester_by_the_sea_part_4,2010s_drama_manchester_by_the_sea_part_5,3,undirected
2010s_drama_manchester_by_the_sea_part_5,2010s_drama_manchester_by_the_sea_part_1,3,undirected
2010s_drama_manchester_by_the_sea_part_5,2010s_drama_manchester_by_the_sea_part_2,1,undirected
2010s_drama_manchester_by_the_sea_part_5,2010s_drama_manchester_by_the_sea_part_3,6,undirected
2010s_drama_manchester_by_the_sea_part_5,2010s_drama_manchester_by_the_sea_part_4,3,undirected
2010s_drama_marriage_story_part_1,2010s_drama_marriage_story_part_5,5,undirected
2010s_drama_marriage_story_part_1,2010s_drama_spotlight_part_1,1,undirected
2010s_drama_marriage_story_part_1,2010s_drama_spotlight_part_5,2,undirected
2010s_drama_marriage_story_part_1,90s_drug_requiem_for_a_dream_part_2,1,undirected
2010s_drama_marriage_story_part_2,2010s_drama_marriage_story_part_3,4,undirected
2010s_drama_marriage_story_part_2,2010s_drama_marriage_story_part_4,3,undirected
2010s_drama_marriage_story_part_2,2010s_drama_marriage_story_part_5,6,undirected
2010s_drama_marriage_story_part_2,2010s_drug_ben_is_bაცკ_part_4,1,undirected
2010s_drama_marriage_story_part_3,2010s_drama_marriage_story_part_2,4,undirected
2010s_drama_marriage_story_part_3,2010s_drama_marriage_story_part_4,6,undirected
2010s_drama_marriage_story_part_3,2010s_drama_marriage_story_part_5,2,undirected
2010s_drama_marriage_story_part_4,2010s_drama_marriage_story_part_2,3,undirected
2010s_drama_marriage_story_part_4,2010s_drama_marriage_story_part_3,6,undirected
2010s_drama_marriage_story_part_4,2010s_drama_marriage_story_part_5,1,undirected
2010s_drama_marriage_story_part_4,90s_drug_requiem_for_a_dream_part_3,2,undirected
2010s_drama_marriage_story_part_5,2010s_drama_marriage_story_part_1,5,undirected
2010s_drama_marriage_story_part_5,2010s_drama_marriage_story_part_2,6,undirected
2010s_drama_marriage_story_part_5,2010s_drama_marriage_story_part_3,2,undirected
2010s_drama_marriage_story_part_5,2010s_drama_marriage_story_part_4,1,undirected
2010s_drama_marriage_story_part_5,90s_drama_american_beauty_part_3,1,undirected
2010s_drama_marriage_story_part_5,90s_drug_requiem_for_a_dream_part_3,1,undirected
2010s_drama_moonlight_part_1,2010s_drama_moonlight_part_2,4,undirected
2010s_drama_moonlight_part_1,2010s_drama_moonlight_part_3,6,undirected
2010s_drama_moonlight_part_1,2010s_drama_moonlight_part_5,3,undirected
2010s_drama_moonlight_part_2,2010s_drama_moonlight_part_1,4,undirected
2010s_drama_moonlight_part_2,2010s_drama_moonlight_part_3,4,undirected
2010s_drama_moonlight_part_2,2010s_drama_moonlight_part_4,3,undirected
2010s_drama_moonlight_part_2,2010s_drama_moonlight_part_5,1,undirected
2010s_drama_moonlight_part_3,2010s_drama_moonlight_part_1,6,undirected
2010s_drama_moonlight_part_3,2010s_drama_moonlight_part_2,4,undirected
2010s_drama_moonlight_part_3,2010s_drama_moonlight_part_4,5,undirected
2010s_drama_moonlight_part_3,2010s_drama_moonlight_part_5,3,undirected
2010s_drama_moonlight_part_4,2010s_drama_moonlight_part_2,3,undirected
2010s_drama_moonlight_part_4,2010s_drama_moonlight_part_3,5,undirected
2010s_drama_moonlight_part_4,2010s_drama_moonlight_part_5,1,undirected
2010s_drama_moonlight_part_5,2010s_drama_moonlight_part_1,3,undirected
2010s_drama_moonlight_part_5,2010s_drama_moonlight_part_2,1,undirected
2010s_drama_moonlight_part_5,2010s_drama_moonlight_part_3,3,undirected
2010s_drama_moonlight_part_5,2010s_drama_moonlight_part_4,1,undirected
2010s_drama_spotlight_part_1,2010s_drama_marriage_story_part_1,1,undirected
2010s_drama_spotlight_part_1,2010s_drama_spotlight_part_2,3,undirected
2010s_drama_spotlight_part_1,2010s_drama_spotlight_part_3,6,undirected
2010s_drama_spotlight_part_1,2010s_drama_spotlight_part_4,5,undirected
2010s_drama_spotlight_part_1,2010s_drama_spotlight_part_5,2,undirected
2010s_drama_spotlight_part_2,2010s_drama_spotlight_part_1,3,undirected
2010s_drama_spotlight_part_2,2010s_drama_spotlight_part_4,2,undirected
2010s_drama_spotlight_part_2,90s_drama_american_beauty_part_3,1,undirected
2010s_drama_spotlight_part_3,2010s_drama_spotlight_part_1,6,undirected
2010s_drama_spotlight_part_3,2010s_drama_spotlight_part_4,3,undirected
2010s_drama_spotlight_part_3,2010s_drama_spotlight_part_5,5,undirected
2010s_drama_spotlight_part_4,2010s_drama_spotlight_part_1,5,undirected
2010s_drama_spotlight_part_4,2010s_drama_spotlight_part_2,2,undirected
2010s_drama_spotlight_part_4,2010s_drama_spotlight_part_3,3,undirected
2010s_drama_spotlight_part_4,2010s_drama_spotlight_part_5,3,undirected
2010s_drama_spotlight_part_4,90s_drug_trainspotting_part_5,2,undirected
2010s_drama_spotlight_part_5,2010s_drama_marriage_story_part_1,2,undirected
2010s_drama_spotlight_part_5,2010s_drama_spotlight_part_1,2,undirected
2010s_drama_spotlight_part_5,2010s_drama_spotlight_part_3,5,undirected
2010s_drama_spotlight_part_5,2010s_drama_spotlight_part_4,3,undirected
2010s_drama_spotlight_part_5,90s_drama_american_beauty_part_1,2,undirected
2010s_drama_spotlight_part_5,90s_drama_american_beauty_part_3,2,undirected
2010s_drama_spotlight_part_5,90s_drama_the_virgin_suicides_part_4,1,undirected
2010s_drama_spotlight_part_5,90s_drug_requiem_for_a_dream_part_1,1,undirected
2010s_drug_beautiful_boy_part_1,2010s_drug_beautiful_boy_part_2,5,undirected
2010s_drug_beautiful_boy_part_1,2010s_drug_beautiful_boy_part_3,5,undirected
2010s_drug_beautiful_boy_part_1,2010s_drug_beautiful_boy_part_4,3,undirected
2010s_drug_beautiful_boy_part_1,2010s_drug_beautiful_boy_part_5,3,undirected
2010s_drug_beautiful_boy_part_2,2010s_drug_beautiful_boy_part_1,5,undirected
2010s_drug_beautiful_boy_part_2,2010s_drug_beautiful_boy_part_3,2,undirected
2010s_drug_beautiful_boy_part_2,2010s_drug_beautiful_boy_part_4,6,undirected
2010s_drug_beautiful_boy_part_2,2010s_drug_beautiful_boy_part_5,2,undirected
2010s_drug_beautiful_boy_part_3,2010s_drug_beautiful_boy_part_1,5,undirected
2010s_drug_beautiful_boy_part_3,2010s_drug_beautiful_boy_part_2,2,undirected
2010s_drug_beautiful_boy_part_3,2010s_drug_beautiful_boy_part_4,1,undirected
2010s_drug_beautiful_boy_part_4,2010s_drug_beautiful_boy_part_1,3,undirected
2010s_drug_beautiful_boy_part_4,2010s_drug_beautiful_boy_part_2,6,undirected
2010s_drug_beautiful_boy_part_4,2010s_drug_beautiful_boy_part_3,1,undirected
2010s_drug_beautiful_boy_part_4,2010s_drug_beautiful_boy_part_5,3,undirected
2010s_drug_beautiful_boy_part_5,2010s_drug_beautiful_boy_part_1,3,undirected
2010s_drug_beautiful_boy_part_5,2010s_drug_beautiful_boy_part_2,2,undirected
2010s_drug_beautiful_boy_part_5,2010s_drug_beautiful_boy_part_4,3,undirected
2010s_drug_ben_is_bაცკ_part_1,2010s_drug_ben_is_bაცკ_part_2,6,undirected
2010s_drug_ben_is_bაცკ_part_1,2010s_drug_ben_is_bაცკ_part_3,4,undirected
2010s_drug_ben_is_bაცკ_part_1,2010s_drug_ben_is_bაცკ_part_4,5,undirected
2010s_drug_ben_is_bაცკ_part_1,2010s_drug_ben_is_bაცკ_part_5,2,undirected
2010s_drug_ben_is_bაცკ_part_2,2010s_drug_ben_is_bაცკ_part_1,6,undirected
2010s_drug_ben_is_bაცკ_part_2,2010s_drug_ben_is_bაცკ_part_4,4,undirected
2010s_drug_ben_is_bაცკ_part_2,2010s_drug_ben_is_bაცკ_part_5,1,undirected
2010s_drug_ben_is_bაცკ_part_2,90s_drug_the_basketball_diaries_part_1,1,undirected
2010s_drug_ben_is_bაცკ_part_3,2010s_drug_ben_is_bაცკ_part_1,4,undirected
2010s_drug_ben_is_bაცკ_part_3,2010s_drug_ben_is_bაცკ_part_4,1,undirected
2010s_drug_ben_is_bაცკ_part_3,90s_drug_the_basketball_diaries_part_2,2,undirected
2010s_drug_ben_is_bაცკ_part_4,2010s_drama_marriage_story_part_2,1,undirected
2010s_drug_ben_is_bაცკ_part_4,2010s_drug_ben_is_bაცკ_part_1,5,undirected
2010s_drug_ben_is_bაცკ_part_4,2010s_drug_ben_is_bაცკ_part_2,4,undirected
2010s_drug_ben_is_bაცკ_part_4,2010s_drug_ben_is_bაცკ_part_3,1,undirected
2010s_drug_ben_is_bაცკ_part_4,2010s_drug_ben_is_bაცკ_part_5,3,undirected
2010s_drug_ben_is_bაცკ_part_5,2010s_drug_ben_is_bაცკ_part_1,2,undirected
2010s_drug_ben_is_bაცკ_part_5,2010s_drug_ben_is_bაცკ_part_2,1,undirected
2010s_drug_ben_is_bაცკ_part_5,2010s_drug_ben_is_bაცკ_part_4,3,undirected
2010s_drug_cherry_part_1,2010s_drug_cherry_part_2,1,undirected
2010s_drug_cherry_part_1,2010s_drug_cherry_part_3,1,undirected
2010s_drug_cherry_part_1,2010s_drug_cherry_part_4,6,undirected
2010s_drug_cherry_part_1,2010s_drug_cherry_part_5,4,undirected
2010s_drug_cherry_part_2,2010s_drug_cherry_part_1,1,undirected
2010s_drug_cherry_part_2,2010s_drug_cherry_part_3,4,undirected
2010s_drug_cherry_part_2,2010s_drug_cherry_part_4,4,undirected
2010s_drug_cherry_part_2,2010s_drug_cherry_part_5,6,undirected
2010s_drug_cherry_part_3,2010s_drug_cherry_part_1,1,undirected
2010s_drug_cherry_part_3,2010s_drug_cherry_part_2,4,undirected
2010s_drug_cherry_part_3,2010s_drug_cherry_part_5,2,undirected
2010s_drug_cherry_part_4,2010s_drug_cherry_part_1,6,undirected
2010s_drug_cherry_part_4,2010s_drug_cherry_part_2,4,undirected
2010s_drug_cherry_part_4,2010s_drug_cherry_part_5,2,undirected
2010s_drug_cherry_part_5,2010s_drug_cherry_part_1,4,undirected
2010s_drug_cherry_part_5,2010s_drug_cherry_part_2,6,undirected
2010s_drug_cherry_part_5,2010s_drug_cherry_part_3,2,undirected
2010s_drug_cherry_part_5,2010s_drug_cherry_part_4,2,undirected
2010s_drug_heaven_knows_what_part_1,2010s_drug_heaven_knows_what_part_3,6,undirected
2010s_drug_heaven_knows_what_part_1,90s_drug_the_basketball_diaries_part_1,2,undirected
2010s_drug_heaven_knows_what_part_1,90s_drug_the_basketball_diaries_part_5,1,undirected
2010s_drug_heaven_knows_what_part_2,2010s_drug_heaven_knows_what_part_3,1,undirected
2010s_drug_heaven_knows_what_part_2,90s_drug_the_basketball_diaries_part_1,2,undirected
2010s_drug_heaven_knows_what_part_2,90s_drug_the_basketball_diaries_part_5,3,undirected
2010s_drug_heaven_knows_what_part_3,2010s_drug_heaven_knows_what_part_1,6,undirected
2010s_drug_heaven_knows_what_part_3,2010s_drug_heaven_knows_what_part_2,1,undirected
2010s_drug_heaven_knows_what_part_3,2010s_drug_heaven_knows_what_part_4,2,undirected
2010s_drug_heaven_knows_what_part_3,90s_drug_the_basketball_diaries_part_4,1,undirected
2010s_drug_heaven_knows_what_part_4,2010s_drug_heaven_knows_what_part_3,2,undirected
2010s_drug_heaven_knows_what_part_4,90s_drug_gridlock_d_part_3,3,undirected
2010s_drug_heaven_knows_what_part_4,90s_drug_the_basketball_diaries_part_1,1,undirected
2010s_drug_heaven_knows_what_part_4,90s_drug_the_basketball_diaries_part_5,2,undirected
2010s_drug_heaven_knows_what_part_5,90s_drug_gridlock_d_part_1,2,undirected
2010s_drug_heaven_knows_what_part_5,90s_drug_the_basketball_diaries_part_1,1,undirected
2010s_drug_heaven_knows_what_part_5,90s_drug_the_basketball_diaries_part_5,3,undirected
2010s_drug_the_fighter_part_1,2010s_drug_the_fighter_part_2,1,undirected
2010s_drug_the_fighter_part_1,2010s_drug_the_fighter_part_4,4,undirected
2010s_drug_the_fighter_part_1,2010s_drug_the_fighter_part_5,3,undirected
2010s_drug_the_fighter_part_2,2010s_drug_the_fighter_part_1,1,undirected
2010s_drug_the_fighter_part_2,2010s_drug_the_fighter_part_3,3,undirected
2010s_drug_the_fighter_part_2,2010s_drug_the_fighter_part_4,6,undirected
2010s_drug_the_fighter_part_2,2010s_drug_the_fighter_part_5,5,undirected
2010s_drug_the_fighter_part_3,2010s_drug_the_fighter_part_2,3,undirected
2010s_drug_the_fighter_part_3,2010s_drug_the_fighter_part_4,3,undirected
2010s_drug_the_fighter_part_3,2010s_drug_the_fighter_part_5,1,undirected
2010s_drug_the_fighter_part_4,2010s_drug_the_fighter_part_1,4,undirected
2010s_drug_the_fighter_part_4,2010s_drug_the_fighter_part_2,6,undirected
2010s_drug_the_fighter_part_4,2010s_drug_the_fighter_part_3,3,undirected
2010s_drug_the_fighter_part_4,2010s_drug_the_fighter_part_5,4,undirected
2010s_drug_the_fighter_part_5,2010s_drug_the_fighter_part_1,3,undirected
2010s_drug_the_fighter_part_5,2010s_drug_the_fighter_part_2,5,undirected
2010s_drug_the_fighter_part_5,2010s_drug_the_fighter_part_3,1,undirected
2010s_drug_the_fighter_part_5,2010s_drug_the_fighter_part_4,4,undirected
90s_drama_american_beauty_part_1,2010s_drama_spotlight_part_5,2,undirected
90s_drama_american_beauty_part_1,90s_drama_american_beauty_part_2,1,undirected
90s_drama_american_beauty_part_1,90s_drama_american_beauty_part_3,6,undirected
90s_drama_american_beauty_part_1,90s_drama_american_beauty_part_4,2,undirected
90s_drama_american_beauty_part_1,90s_drama_american_beauty_part_5,1,undirected
90s_drama_american_beauty_part_2,90s_drama_american_beauty_part_1,1,undirected
90s_drama_american_beauty_part_2,90s_drama_american_beauty_part_4,6,undirected
90s_drama_american_beauty_part_2,90s_drama_american_beauty_part_5,5,undirected
90s_drama_american_beauty_part_3,2010s_drama_marriage_story_part_5,1,undirected
90s_drama_american_beauty_part_3,2010s_drama_spotlight_part_2,1,undirected
90s_drama_american_beauty_part_3,2010s_drama_spotlight_part_5,2,undirected
90s_drama_american_beauty_part_3,90s_drama_american_beauty_part_1,6,undirected
